"Дата, время начала",Районы,подтвержденные (прогноз оправдался),"НЯ, ОЯ, КНЯ",Тип явления,Критерий,Характеристика,Последствия
2014-12-06 21:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое, Сильный мороз,06.12.14 по северо-востоку края сохранится сильный мороз -35,
2014-12-21 00:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое," Очень сильный снег , Сильная метель","ночью 21.12.2014, с сохранением днем, ожидается сильный снег, метель, усиление юго-западного ветра с порывами до 15 м/с, налипание мокрого снега на проводах, гололед.",
2015-01-01 00:00:00,Местами по краю,,НЯ,Метеорологическое, Сильный мороз,"1 и 2 января 2015г местами по Пермскому краю ожидается сильный мороз   -30,-35°.",
2015-01-03 06:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег , Сильная метель","Днем 03.01 сильный снег, метель, порывы ветра 15-20 м/с.",
2015-01-07 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильный мороз,с 07.01.2015 по 10.01.2015 ожидается сильный мороз -35 и ниже,
2015-01-08 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильный мороз,08.01.2015 в Пермском крае и в г.Перми ожидается сильный мороз -35 и ниже,
2014-01-07 21:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,08.01.2015 в Пермском крае и в Перми ожидается сильный мороз -35 и ниже,
2015-01-11 00:00:00,Местами по краю,,ОЯ,Метеорологическое, Сильный мороз,ночью 11.01.2015 местами по северу ПК сохранится сильный мороз -35 и ниже,
2015-01-22 21:00:00,Местами по краю, +,ОЯ,Метеорологическое, Сильный мороз,"Утром 22.01 по северу, ночью 23,24,25 по территории Пермского края ожидается сильный мороз -25 и ниже",
2015-02-02 21:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег , Сильная метель","Ночью по северо-западу ожидается сильный снег, метель. порывы ветра 17-22 м/с. (оправдался по юго-западу)","Отключение электроэнергии в 7 МР: Бардымском, Осинском, Нытвенском, Соликамском, Оханском, Чайковском, Еловском"
2015-02-10 00:00:00,Местами по краю, +,НЯ,Метеорологическое, Очень сильный ветер,"На территории Пермского края ожидается сильный снег, метель, порывы ветра 18-23 м/с",
2015-02-11 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег","           Облачная погода с прояснениями, ночью небольшой и умеренный, местами сильный снег, метель, гололед. Ветер западный, юго-западный 7-12 м/с, порывы 15-20 м/с.",
2015-03-08 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,"09.03.2015 днем на большей части территории небольшие и умеренные, в отдельных районах сильные осадки (снег, мокрый снег, днем переходящий в дождь), порывы ветра ночью до 15 м/с, днем порывы 15-20 м/с.",
2015-03-16 00:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,ночью порывы   15-20 м/с.,
2015-03-25 20:00:00,"Соликамск  (район) МР, Чердынский МР",,НЯ,Метеорологическое, Очень сильный ветер,Порывы ветра 20-25 м/с,
2015-05-07 21:00:00,Местами по краю,,ОЯ,Метеорологическое, Аномально холодная погода,"Ночью 7-9 мая местами по Пермскому краю ожидаются заморозки -2,-6°.",
2015-05-12 08:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,12-14 мая местами по югу края ожидается высокая пожарная опасность (4 класс),
2015-05-21 00:00:00,Местами по краю,,ОЯ,КНЯ, Заморозки,Ночью 20.05.2015 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -2,
