Район,Тип,Дата и время  пожара 
ГО город Березники,Пожар с гибелью 2-х и более человек ,2012-12-18 20:39:00
Пермский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-01-01 00:00:00
Юрлинский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-01-01 00:00:00
Карагайский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-01-01 00:00:00
Добрянский ГО ,Пожар с гибелью 2-х и более человек ,2013-01-01 07:50:00
Соликамский ГО ,Пожар с гибелью 2-х и более человек ,2013-01-01 17:35:00
Чернушинский ГО ,Пожар с гибелью 2-х и более человек ,2013-01-02 02:40:00
Нытвенский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2013-01-05 12:10:00
Кунгурский МО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2013-01-06 12:50:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2013-01-06 18:20:00
Березовский МО ,Пожар с гибелью 2-х и более человек ,2013-01-07 11:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-01-14 16:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-01-16 06:55:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-01-17 06:55:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2013-01-17 08:36:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2013-01-19 23:37:00
Соликамский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-01-20 07:43:00
ГО город Кизел ,Пожар с гибелью 2-х и более человек ,2013-01-21 04:00:00
Октябрьский ГО ,Пожар с гибелью 2-х и более человек ,2013-01-23 14:10:00
Соликамский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-01-24 05:43:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2013-01-24 05:43:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2013-01-24 06:58:00
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-01-25 09:25:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-01-28 09:00:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-01-30 02:35:00
Александровский МО ,Пожар с гибелью 2-х и более человек ,2013-01-31 09:53:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-02-02 21:35:00
Пермский МО ,Перерыв в движении на главных магистралей ,2013-02-03 19:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-02-05 09:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-02-05 09:07:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-02-06 09:00:00
Куединский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-02-08 00:00:00
Частинский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-02-08 00:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-02-09 12:00:00
Соликамский ГО ,Пожар с гибелью 2-х и более человек ,2013-02-10 03:55:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-02-13 15:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-02-16 12:35:00
Частинский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-02-22 00:00:00
Верещагинский ГО,Пожар с гибелью 2-х и более человек ,2013-02-22 05:22:00
