year,month,day,t
среднемноголетняя температура,январь,1,-9.857142857142858
2009,январь,1,-8.0
2010,январь,1,-13.0
2011,январь,1,-5.0
2012,январь,1,-5.0
2013,январь,1,-18.0
2014,январь,1,1.0
2015,январь,1,-20.0
2016,январь,1,-27.0
2017,январь,1,-3.0
2018,январь,1,-3.0
2019,январь,1,-11.0
2020,январь,1,-5.0
2021,январь,1,-12.0
2022,январь,1,-9.0
2023,январь,1,-17.0
среднемноголетняя температура,январь,2,-10.928571428571429
2009,январь,2,-10.0
2010,январь,2,-14.0
2011,январь,2,-6.0
2012,январь,2,-6.0
2013,январь,2,-20.0
2014,январь,2,0.0
2015,январь,2,-27.0
2016,январь,2,-22.0
2017,январь,2,-3.0
2018,январь,2,-5.0
2019,январь,2,-12.0
2020,январь,2,-10.0
2021,январь,2,-11.0
2022,январь,2,-7.0
2023,январь,2,-6.0
среднемноголетняя температура,январь,3,-11.571428571428571
2009,январь,3,-12.0
2010,январь,3,-9.0
2011,январь,3,-9.0
2012,январь,3,-10.0
2013,январь,3,-14.0
2014,январь,3,-24.0
2015,январь,3,-16.0
2016,январь,3,-18.0
2017,январь,3,-6.0
2018,январь,3,-6.0
2019,январь,3,-5.0
2020,январь,3,-10.0
2021,январь,3,-13.0
2022,январь,3,-10.0
2023,январь,3,-6.0
среднемноголетняя температура,январь,4,-11.785714285714286
2009,январь,4,-16.0
2010,январь,4,-19.0
2011,январь,4,-12.0
2012,январь,4,-10.0
2013,январь,4,-11.0
2014,январь,4,-30.0
2015,январь,4,-3.0
2016,январь,4,-20.0
2017,январь,4,-10.0
2018,январь,4,-2.0
2019,январь,4,-7.0
2020,январь,4,-2.0
2021,январь,4,-9.0
2022,январь,4,-14.0
2023,январь,4,-17.0
среднемноголетняя температура,январь,5,-12.571428571428571
2009,январь,5,-17.0
2010,январь,5,-25.0
2011,январь,5,-12.0
2012,январь,5,-4.0
2013,январь,5,-8.0
2014,январь,5,-13.0
2015,январь,5,-3.0
2016,январь,5,-20.0
2017,январь,5,-24.0
2018,январь,5,-12.0
2019,январь,5,-10.0
2020,январь,5,-3.0
2021,январь,5,-8.0
2022,январь,5,-17.0
2023,январь,5,-18.0
среднемноголетняя температура,январь,6,-13.357142857142858
2009,январь,6,-17.0
2010,январь,6,-30.0
2011,январь,6,-6.0
2012,январь,6,-7.0
2013,январь,6,-5.0
2014,январь,6,-12.0
2015,январь,6,-5.0
2016,январь,6,-19.0
2017,январь,6,-20.0
2018,январь,6,-15.0
2019,январь,6,-7.0
2020,январь,6,-10.0
2021,январь,6,-13.0
2022,январь,6,-21.0
2023,январь,6,-16.0
среднемноголетняя температура,январь,7,-12.678571428571429
